name;YearMeanMean;YearMean05;YearMean95;YearPrecMean;YearPrec05;YearPrec95;GSMeanMean;GSMean05;GSMean95;Area (km²);EasternLim;WesternLim;NorthernLim;SouthernLim
Sorbus aria;10,08999341;4,655806359;15,72989112;742,1908847;517,0339348;1283,770687;15,13181163;10,24310427;20,37477375;1636000;25,83;-9,83;55,5;36,83
Sorbus aucuparia;5,544943489;-0,811341252;12,21404424;724,8575867;505,1508806;1295,197917;12,19755249;6,707203786;16,73343649;8136800;59,83;-10,17;71,17;39,17
Sorbus torminalis;10,62503652;6,069181091;16,60224056;714,7860697;518,8538458;1192,852714;15,62812136;11,13229547;20,5326079;2498000;45,5;-7,5;54,83;34,5
Atropa bella-donna;9,817114068;5,442712615;15,33642518;716,5940809;514,9392404;1279,336353;15,05961787;11,27224661;19,99263485;2016400;27,17;-4,83;54,5;35,83
Stachys officinalis;7,781780374;3,117550513;13,40486253;723,2416122;517,6346434;1250,613641;14,55959822;11,7515093;18,81824677;5124800;59,83;-6,5;59,17;38,83
Stachys recta;8,949589951;4,029396063;14,06725422;720,3346664;511,1842409;1249,530132;15,45232367;11,7528394;19,62509059;3410400;48,17;-5,83;59,5;39,5
Stachys sylvatica;7,352613497;1,722925149;12,77036051;718,5394725;510,7805827;1268,080826;13,82034499;9,829388154;18,8492821;7016800;59,17;-10,5;70,17;38,83
Stellaria alsine;6,861931291;1,409708254;12,10294223;732,9703514;514,9980073;1302,316548;13,07800019;9,070105516;17,08180921;5632800;58,83;-9,83;69,5;39,5
Stellaria graminea;6,054804301;-0,611539903;11,767709;703,6113452;471,0973978;1230,6703;12,95176896;6,704489425;18,30103922;8689200;59,83;-10,17;71,17;36,83
Stellaria holostea;6,958027305;1,306099087;12,5965417;726,1332799;510,8144654;1250,266215;13,57505983;9,640663486;17,77736914;6179200;59,83;-10,17;62,83;40,17
Stellaria media;7,700124872;-0,534336619;16,6720981;686,5801055;344,4174043;1247,155959;14,1813065;6,969870713;21,00975355;11621600;59,83;-10,5;71,17;31,17
Avenula pubescens;7,283399947;2,975990568;11,54499545;723,6991643;517,5056541;1215,728043;13,28559669;8,470762522;17,4859768;5422400;47,83;-10,5;69,5;39,83
Stellaria nemorum;5,515323969;-0,507431133;11,93007905;740,0550902;515,8349746;1337,188917;12,58779134;6,886854982;17,69976867;4654800;59,83;-4,5;71,17;39,5
Succisa pratensis;6,855032694;1,925219571;12,27187266;731,0832394;518,5772199;1286,51807;13,28450894;9,897417994;17,32851755;5571200;59,83;-10,17;69,17;41,83
Symphytum officinale;7,703369319;2,947744325;12,63665246;717,5542878;506,2076367;1237,786052;14,16359065;11,28395605;18,19573104;5829600;59,83;-10,5;61,17;40,5
Dioscorea communis;12,31662915;6,543407006;17,85132842;676,340206;407,6451418;1183,865888;17,81841343;12,5452707;22,23018555;5210000;53,83;-9,83;54,5;29,83
Tanacetum corymbosum;8,178081505;3,432200626;12,66184428;707,6560489;501,5980455;1215,375906;15,13798085;10,96722954;18,60361671;3762800;55,17;-9,17;58,17;38,83
Ballota nigra;10,12733961;4,700480874;16,84479284;705,0980344;443,1938953;1288,772217;15,90617224;11,97666008;21,18941897;6269200;47,5;-10,17;57,83;30,5
Taxus baccata;8,863884404;3,571005609;12,92628908;725,0716735;517,1100597;1253,009542;14,43647489;8,132663433;18,73554508;717200;47,83;-6,83;55,83;41,17
Teucrium chamaedrys;11,68980544;6,24502367;17,68643733;689,97061;418,0776094;1186,120902;17,38912687;12,25440224;22,7338876;4686400;55,5;-9,83;51,17;31,17
Teucrium scorodonia;10,34263761;6,944376425;14,97677195;749,2085993;519,6616189;1278,561072;14,52780298;10,26908562;19,31581633;1906400;11,83;-10,17;60,83;38,17
Thalictrum aquilegiifolium;7,465781409;3,372645504;13,47672285;718,8399308;510,8065856;1194,069491;14,37271814;11,19724461;19,28894686;3324400;48,83;2,83;61,17;37,83
Thesium alpinum;8,562652014;4,241806889;12,391846;732,7060685;519,5371623;1276,024862;13,81818811;9,741271542;17,77564893;516400;42,83;-2,5;59,17;41,83
Tilia cordata;7,025299322;2,089509015;12,02747585;724,6452104;504,4601259;1256,928623;13,82795998;10,53208313;17,88937802;6423600;59,83;-6,17;63,17;40,5
